EventDate,Rank,Player,GLevel,Score,Target,Gap,Result
2026-06-01,1,Harp,G9,292419303,80000000,212419303,Met Target
2026-06-01,2,DaveyG,G9,234020757,80000000,154020757,Met Target
2026-06-01,3,Finda,G9,118912780,80000000,38912780,Met Target
2026-06-01,4,Dionisea,G8,117603779,36000000,81603779,Met Target
2026-06-01,5,Niien,G9,105297484,80000000,25297484,Met Target
2026-06-01,6,San Diego,G9,95701074,80000000,15701074,Met Target
2026-06-01,7,Daanil,G9,94525085,80000000,14525085,Met Target
2026-06-01,8,Kazmikaze,G9,87000000,80000000,7000000,Met Target
2026-06-01,9,Legionário,G8,86081037,36000000,50081037,Met Target
2026-06-01,10,Ronin,G8,83446515,36000000,47446515,Met Target
2026-06-01,11,McAsako,G9,79838430,80000000,-161570,Below Target
2026-06-01,12,McQueen,G8,77041059,36000000,41041059,Met Target
2026-06-01,13,ThorHammer,G9,76000000,80000000,-4000000,Below Target
2026-06-01,14,Memento Mori,G9,73287966,80000000,-6712034,Below Target
2026-06-01,15,Sayeed,G9,65000000,80000000,-15000000,Below Target
2026-06-01,16,McNan,G8,60307871,36000000,24307871,Met Target
2026-06-01,17,McOtrebor,G8,59598619,36000000,23598619,Met Target
2026-06-01,18,McProtheus,G8,59449212,36000000,23449212,Met Target
2026-06-01,19,MC Sirari,G8,59044751,36000000,23044751,Met Target
2026-06-01,20,jvpix dot com,G8,59020688,36000000,23020688,Met Target
2026-06-01,21,Stinkeye Syd,G8,58539337,36000000,22539337,Met Target
2026-06-01,22,McBomb,G8,53732666,36000000,17732666,Met Target
2026-06-01,23,MC FIL,G8,48340872,36000000,12340872,Met Target
2026-06-01,24,Mc三千尺,G8,46872583,36000000,10872583,Met Target
2026-06-01,25,Grendal,G8,44612074,36000000,8612074,Met Target
2026-06-01,26,ZEYNA,G9,44166629,80000000,-35833371,Below Target
2026-06-01,27,McLulu,G8,43066720,36000000,7066720,Met Target
2026-06-01,28,Paradox,G8,42382440,36000000,6382440,Met Target
2026-06-01,29,McMASIDA,G8,41385961,36000000,5385961,Met Target
2026-06-01,30,McHadrian,G8,41326921,36000000,5326921,Met Target
2026-06-01,31,Dalas,G8,39260355,36000000,3260355,Met Target
2026-06-01,32,Aurora,G8,38200000,36000000,2200000,Met Target
2026-06-01,33,Dracarys,G8,37832047,36000000,1832047,Met Target
2026-06-01,34,McGlekil,G8,37496590,36000000,1496590,Met Target
2026-06-01,35,Gannicus,G8,36329856,36000000,329856,Met Target
2026-06-01,36,Naked Theo,G8,35317756,36000000,-682244,Below Target
2026-06-01,37,McMCA IV,G8,35144906,36000000,-855094,Below Target
2026-06-01,38,Mc Circus Kid,G8,35082457,36000000,-917543,Below Target
2026-06-01,39,McFenrir,G8,34907297,36000000,-1092703,Below Target
2026-06-01,40,Meg,G8,34647379,36000000,-1352621,Below Target
2026-06-01,41,McAslan,G8,34448112,36000000,-1551888,Below Target
2026-06-01,42,John Wick Jr,G8,34089166,36000000,-1910834,Below Target
2026-06-01,43,McChief,G8,33596556,36000000,-2403444,Below Target
2026-06-01,44,Anfir,G7,33560884,36000000,-2439116,Below Target
2026-06-01,45,McActualPlayer,G8,32632628,36000000,-3367372,Below Target
2026-06-01,46,Elginan,G8,32354849,36000000,-3645151,Below Target
2026-06-01,47,Funving 2,G8,32125451,36000000,-3874549,Below Target
2026-06-01,48,Turin,G8,32014904,36000000,-3985096,Below Target
2026-06-01,49,McTripp Ohnmefrskn,G8,30450697,36000000,-5549303,Below Target
2026-06-01,50,fundaing sk,G8,29097987,36000000,-6902013,Below Target
2026-06-01,51,Rebenck,G8,28888261,36000000,-7111739,Below Target
2026-06-01,52,OldWolf,G8,28600000,36000000,-7400000,Below Target
2026-06-01,53,Wail,G8,24676724,36000000,-11323276,Below Target
2026-06-01,54,Kulafyn,G8,24407836,36000000,-11592164,Below Target
2026-06-01,55,McNkuks,G8,24011251,36000000,-11988749,Below Target
2026-06-01,56,Harpy,G9,22898667,80000000,-57101333,Below Target
2026-06-01,57,DxB¹,G8,22401650,36000000,-13598350,Below Target
2026-06-01,58,kern l,G8,22260587,36000000,-13739413,Below Target
2026-06-01,59,McArkayen SK,G8,21986403,36000000,-14013597,Below Target
2026-06-01,60,Mojora will bite,G8,21898494,36000000,-14101506,Below Target
2026-06-01,61,LadyMezz,G8,21815909,36000000,-14184091,Below Target
2026-06-01,62,Jose Francisco,G8,20201675,36000000,-15798325,Below Target
2026-06-01,63,Ballazan,G8,19498402,36000000,-16501598,Below Target
2026-06-01,64,YourVagjesty,G8,19397408,36000000,-16602592,Below Target
2026-06-01,65,Manux Bonux,G8,16814874,36000000,-19185126,Below Target
2026-06-01,66,Maedrosorr,G8,16264413,36000000,-19735587,Below Target
2026-06-01,67,Bragis,G7,15226237,36000000,-20773763,Below Target
2026-06-01,68,Mazzaroth,G7,14772451,36000000,-21227549,Below Target
2026-06-01,69,Lord of Rocks,G7,13798436,36000000,-22201564,Below Target
2026-06-01,70,SilverGhost,G7,12800000,36000000,-23200000,Below Target
2026-06-01,71,xBBt2,G7,11528970,36000000,-24471030,Below Target
2026-06-01,72,GimmeYoSilver,G8,10887411,36000000,-25112589,Below Target
2026-06-01,73,Kapt Krullilingus,G9,10744366,80000000,-69255634,Below Target
2026-06-01,74,Khairy Iskandar,G7,10364702,36000000,-25635298,Below Target
2026-06-01,75,McTygomi,G7,8400413,36000000,-27599587,Below Target
2026-06-01,76,Makasa the CK,G9,6829957,80000000,-73170043,Below Target
2026-06-01,77,Sanctuary,G7,6282630,36000000,-29717370,Below Target
2026-06-01,78,Zé Costa,G8,4522091,36000000,-31477909,Below Target
2026-06-01,79,Mooch Be Gone,G8,3691853,36000000,-32308147,Below Target
2026-06-01,80,AmaRettosour,G8,3602007,36000000,-32397993,Below Target
2026-06-01,81,Beefcake the Mighty,G7,3251448,36000000,-32748552,Below Target
2026-06-01,82,Black Arrow,G8,3097645,36000000,-32902355,Below Target
2026-06-01,83,Arthur,G8,1971219,36000000,-34028781,Below Target
2026-06-01,84,Moonraven,G6,324347,36000000,-35675653,Below Target
2026-06-01,85,Fallegin,G4,63240,36000000,-35936760,Below Target
2026-06-01,86,MC Unfug,G8,0,36000000,-36000000,No Participation
2026-06-01,87,Nutopia,G9,0,80000000,-80000000,No Participation
2026-06-01,88,Frostterror,G8,0,36000000,-36000000,No Participation
2026-06-01,89,BingoMikeHuntPlz,G7,0,36000000,-36000000,No Participation
2026-06-01,90,Just The Tip,G8,0,36000000,-36000000,No Participation
2026-06-01,91,McTrub,G9,0,80000000,-80000000,No Participation
2026-06-01,92,McMoon Girl,G8,0,36000000,-36000000,No Participation
2026-06-01,93,Daemon Targaryen,G1,0,36000000,-36000000,No Participation
2026-06-01,94,Birthday Suit,G8,0,36000000,-36000000,No Participation
2026-06-01,95,Egzekutor,G1,0,36000000,-36000000,No Participation
2026-06-07,1,DaveyG,G9,318041096,80000000,238041096,Met Target
2026-06-07,2,Harp,G9,296532226,80000000,216532226,Met Target
2026-06-07,3,Niien,G9,134316253,80000000,54316253,Met Target
2026-06-07,4,Dionisea,G8,127713597,36000000,91713597,Met Target
2026-06-07,5,San Diego,G9,123476735,80000000,43476735,Met Target
2026-06-07,6,Finda,G9,117937719,80000000,37937719,Met Target
2026-06-07,7,Ronin,G8,95277729,36000000,59277729,Met Target
2026-06-07,8,Legionário,G8,90835800,36000000,54835800,Met Target
2026-06-07,9,Daanil,G9,90184601,80000000,10184601,Met Target
2026-06-07,10,Memento Mori,G9,81181315,80000000,1181315,Met Target
2026-06-07,11,McAsako,G9,81102971,80000000,1102971,Met Target
2026-06-07,12,McQueen,G8,72224551,36000000,36224551,Met Target
2026-06-07,13,MC Sirari,G8,67926915,36000000,31926915,Met Target
2026-06-07,14,McNan,G8,67345468,36000000,31345468,Met Target
2026-06-07,15,Stinkeye Syd,G8,61358723,36000000,25358723,Met Target
2026-06-07,16,jvpix dot com,G8,61074713,36000000,25074713,Met Target
2026-06-07,17,McOtrebor,G8,60505426,36000000,24505426,Met Target
2026-06-07,18,McBomb,G8,58392696,36000000,22392696,Met Target
2026-06-07,19,McProtheus,G8,56793215,36000000,20793215,Met Target
2026-06-07,20,Dracarys,G8,52485551,36000000,16485551,Met Target
2026-06-07,21,Kazmikaze,G9,52117022,80000000,-27882978,Below Target
2026-06-07,22,MC FIL,G8,51669395,36000000,15669395,Met Target
2026-06-07,23,Paradox,G8,49574411,36000000,13574411,Met Target
2026-06-07,24,McGlekil,G8,49365701,36000000,13365701,Met Target
2026-06-07,25,Meg,G8,45873648,36000000,9873648,Met Target
2026-06-07,26,Grendal,G8,45419898,36000000,9419898,Met Target
2026-06-07,27,McMASIDA,G8,44569499,36000000,8569499,Met Target
2026-06-07,28,Mc三千尺,G8,43869158,36000000,7869158,Met Target
2026-06-07,29,McLulu,G8,42957210,36000000,6957210,Met Target
2026-06-07,30,Funving 2,G8,42795394,36000000,6795394,Met Target
2026-06-07,31,John Wick Jr,G8,42014679,36000000,6014679,Met Target
2026-06-07,32,Sayeed,G9,41458771,80000000,-38541229,Below Target
2026-06-07,33,ZEYNA,G9,40935293,80000000,-39064707,Below Target
2026-06-07,34,McHadrian,G8,40597752,36000000,4597752,Met Target
2026-06-07,35,Anfir,G7,39936077,36000000,3936077,Met Target
2026-06-07,36,Mc Circus Kid,G8,39889343,36000000,3889343,Met Target
2026-06-07,37,Gannicus,G8,38525814,36000000,2525814,Met Target
2026-06-07,38,McActualPlayer,G8,38519407,36000000,2519407,Met Target
2026-06-07,39,Turin,G8,38509946,36000000,2509946,Met Target
2026-06-07,40,McAslan,G8,38378430,36000000,2378430,Met Target
2026-06-07,41,McFenrir,G8,37737182,36000000,1737182,Met Target
2026-06-07,42,McChief,G8,37480377,36000000,1480377,Met Target
2026-06-07,43,Elginan,G8,36561117,36000000,561117,Met Target
2026-06-07,44,Dalas,G8,36362245,36000000,362245,Met Target
2026-06-07,45,Aurora,G8,35599609,36000000,-400391,Below Target
2026-06-07,46,Naked Theo,G8,34982322,36000000,-1017678,Below Target
2026-06-07,47,Rebenck,G8,33903220,36000000,-2096780,Below Target
2026-06-07,48,McMCA IV,G8,33325344,36000000,-2674656,Below Target
2026-06-07,49,fundaing sk,G8,30908277,36000000,-5091723,Below Target
2026-06-07,50,Harpy,G9,29887020,80000000,-50112980,Below Target
2026-06-07,51,Kulafyn,G8,29669939,36000000,-6330061,Below Target
2026-06-07,52,McTripp Ohnmefrskn,G8,28857964,36000000,-7142036,Below Target
2026-06-07,53,LOC,G7,28656159,36000000,-7343841,Below Target
2026-06-07,54,Mojora will bite,G8,28166041,36000000,-7833959,Below Target
2026-06-07,55,Kalmeena,G8,26270695,36000000,-9729305,Below Target
2026-06-07,56,McNkuks,G8,25993016,36000000,-10006984,Below Target
2026-06-07,57,Wail,G8,24663745,36000000,-11336255,Below Target
2026-06-07,58,Jose Francisco,G8,23099100,36000000,-12900900,Below Target
2026-06-07,59,McArkayen SK,G8,22201503,36000000,-13798497,Below Target
2026-06-07,60,DxB¹,G8,22091837,36000000,-13908163,Below Target
2026-06-07,61,Maedrosorr,G8,21950701,36000000,-14049299,Below Target
2026-06-07,62,kern l,G8,21405782,36000000,-14594218,Below Target
2026-06-07,63,McJoker,G8,21165084,36000000,-14834916,Below Target
2026-06-07,64,LadyMezz,G8,20943660,36000000,-15056340,Below Target
2026-06-07,65,YourVagjesty,G8,20365845,36000000,-15634155,Below Target
2026-06-07,66,Darinevl,G8,20356842,36000000,-15643158,Below Target
2026-06-07,67,Ballazan,G8,19404772,36000000,-16595228,Below Target
2026-06-07,68,Manux Bonux,G8,18701184,36000000,-17298816,Below Target
2026-06-07,69,Bragis,G7,16930854,36000000,-19069146,Below Target
2026-06-07,70,Mazzaroth,G7,15393175,36000000,-20606825,Below Target
2026-06-07,71,Lord of Rocks,G7,13735946,36000000,-22264054,Below Target
2026-06-07,72,Kapt Krullilingus,G9,11732909,80000000,-68267091,Below Target
2026-06-07,73,xBBt2,G7,11596315,36000000,-24403685,Below Target
2026-06-07,74,GimmeYoSilver,G8,10697924,36000000,-25302076,Below Target
2026-06-07,75,Khairy Iskandar,G7,9597679,36000000,-26402321,Below Target
2026-06-07,76,Sanctuary,G7,8696044,36000000,-27303956,Below Target
2026-06-07,77,Makasa the CK,G9,8550942,80000000,-71449058,Below Target
2026-06-07,78,McTygomi,G7,8267478,36000000,-27732522,Below Target
2026-06-07,79,Zé Costa,G8,4772600,36000000,-31227400,Below Target
2026-06-07,80,AmaRettosour,G8,4527305,36000000,-31472695,Below Target
2026-06-07,81,Beefcake the Mighty,G7,3581681,36000000,-32418319,Below Target
2026-06-07,82,Black Arrow,G8,3074289,36000000,-32925711,Below Target
2026-06-07,83,Arthur,G8,2464445,36000000,-33535555,Below Target
2026-06-07,84,Moonraven,G6,355845,36000000,-35644155,Below Target
2026-06-07,85,Fallegin,G4,62353,36000000,-35937647,Below Target
2026-06-07,86,Mooch Be Gone,G8,0,36000000,-36000000,No Participation
2026-06-07,87,MC Unfug,G8,0,36000000,-36000000,No Participation
2026-06-07,88,Nutopia,G9,0,80000000,-80000000,No Participation
2026-06-07,89,Frostterror,G8,0,36000000,-36000000,No Participation
2026-06-07,90,BingoMikeHuntPlz,G7,0,36000000,-36000000,No Participation
2026-06-07,91,Just The Tip,G8,0,36000000,-36000000,No Participation
2026-06-07,92,McTrub,G9,0,80000000,-80000000,No Participation
2026-06-07,93,McMoon Girl,G8,0,36000000,-36000000,No Participation
2026-06-07,94,Daemon Targaryen,G1,0,36000000,-36000000,No Participation
2026-06-07,95,Birthday Suit,G8,0,36000000,-36000000,No Participation
2026-06-07,96,McMaximus,G8,0,36000000,-36000000,No Participation
2026-06-07,97,Egzekutor,G1,0,36000000,-36000000,No Participation
